freq=240.00Hz 
type, time, id, pos_x, pos_y, pos_z, rot_w, rot_x, rot_y, rot_z, cond
M, 508937500, 0, -1471.328125, 1012.159790, 1211.878784, 1, 0, 0, 0, 6.75
M, 508941667, 0, -1465.615845, 1013.420044, 1211.386475, 1, 0, 0, 0, 6.74
M, 508945833, 0, -1459.883179, 1014.612610, 1210.848999, 1, 0, 0, 0, 6.41
M, 508950000, 0, -1454.194946, 1015.888489, 1210.257935, 1, 0, 0, 0, 6.71
M, 508954167, 0, -1448.499146, 1017.057129, 1209.613037, 1, 0, 0, 0, 6.70
M, 508958333, 0, -1442.868408, 1018.275696, 1208.961548, 1, 0, 0, 0, 6.68
M, 508962500, 0, -1437.460083, 1019.529663, 1208.301758, 1, 0, 0, 0, 6.36
M, 508966667, 0, -1431.598999, 1020.723022, 1207.481812, 1, 0, 0, 0, 6.65
M, 508970833, 0, -1425.928223, 1021.916199, 1206.691528, 1, 0, 0, 0, 6.64
M, 508975000, 0, -1420.409058, 1023.069580, 1205.850220, 1, 0, 0, 0, 6.63
M, 508979167, 0, -1415.067871, 1024.506958, 1204.890869, 1, 0, 0, 0, 6.36
M, 508983333, 0, -1409.206299, 1025.473145, 1204.098633, 1, 0, 0, 0, 6.60
M, 508987500, 0, -1403.683594, 1026.610840, 1203.180054, 1, 0, 0, 0, 6.58
M, 508991667, 0, -1398.083374, 1027.807495, 1202.219360, 1, 0, 0, 0, 6.57
M, 508995833, 0, -1392.821899, 1029.063721, 1201.193237, 1, 0, 0, 0, 5.99
M, 509000000, 0, -1387.148804, 1030.057373, 1200.269531, 1, 0, 0, 0, 6.23
M, 509004167, 0, -1381.660889, 1031.229126, 1199.215088, 1, 0, 0, 0, 6.22
M, 509008333, 0, -1375.960205, 1032.238892, 1197.852661, 1, 0, 0, 0, 6.11
M, 509012500, 0, -1370.524292, 1033.372559, 1196.713501, 1, 0, 0, 0, 6.10
M, 509016667, 0, -1364.924805, 1034.534912, 1195.548950, 1, 0, 0, 0, 5.81
M, 509020833, 0, -1358.632935, 1035.972046, 1193.958496, 1, 0, 0, 0, 5.09
M, 509025000, 0, -1353.179321, 1037.095215, 1192.713379, 1, 0, 0, 0, 5.09
